"統一編號","公司名稱","公司地址","公司狀態"
"03795904","台灣電力股份有限公司","臺北市中正區羅斯福路三段242號","01"
"53111933","潤成投資控股股份有限公司","臺北市中山區八德路二段308號13樓之1","01"
"22099131","台灣積體電路製造股份有限公司","新竹科學園區新竹市力行六路8號","01"
"80333992","中國信託金融控股股份有限公司","臺北市南港區經貿二路168號27樓、29樓","01"
"70827383","凱基金融控股股份有限公司","臺北市松山區敦化北路135號8、12、13及18樓","01"
"80328219","新光金融控股股份有限公司","臺北市中正區忠孝西路一段66號38樓","01"
"70827406","國泰金融控股股份有限公司","臺北市大安區仁愛路四段296號","01"
"70796305","玉山金融控股股份有限公司","臺北市松山區民生東路3段117號14樓及115號1樓","01"
"03077208","中國信託商業銀行股份有限公司","臺北市南港區經貿二路166、168、170、186、188號","01"
"30414175","中國鋼鐵股份有限公司","高雄市小港區中鋼路1號","01"
"52242444","台灣自來水股份有限公司","臺中市北區樂英里14鄰雙十路二段2之1號","01"
"03374805","富邦金融控股股份有限公司","臺北市中山區遼寧街179號15樓、16樓","01"
"53021433","合作金庫金融控股股份有限公司","臺北市松山區長安東路二段225號17、19樓","01"
"70796754","兆豐金融控股股份有限公司","臺北市中正區忠孝東路二段123號14至17樓、20樓至21樓","01"
"11456006","南山人壽保險股份有限公司","臺北市信義區莊敬路168號","01"
"03750168","台北富邦商業銀行股份有限公司","臺北市中山區中山北路二段50號1、2、3、5、8、12樓","01"
"80328055","台新金融控股股份有限公司","臺北市大安區仁愛路四段118號12、13、15、16、21、22及23樓","01"
"80351999","第一金融控股股份有限公司","臺北市中正區重慶南路一段30號","01"
"04541302","鴻海精密工業股份有限公司","新北市土城區中山路66號","01"
"70826764","華南金融控股股份有限公司","臺北市信義區松仁路123號23樓、24樓、25樓、26樓及27樓","01"
"03707901","台灣中油股份有限公司","高雄市楠梓區宏南里左楠路2號","01"
"86517510","玉山商業銀行股份有限公司","臺北市松山區民生東路三段115號及117號","01"
"70796749","元大金融控股股份有限公司","臺北市大安區仁愛路三段157號5樓、6樓、10樓、13樓、16樓至20樓","01"
"80333183","永豐金融控股股份有限公司","臺北市中山區八德路2段306號3樓、5至13樓及308號6樓之1、6樓之2","01"
"47217677","聯華電子股份有限公司","新竹科學園區新竹市力行二路3號","01"
"70799128","合作金庫商業銀行股份有限公司","臺北市松山區長安東路二段225號","01"
"04231910","國泰世華商業銀行股份有限公司","臺北市信義區松仁路7號1樓","01"
"27935073","富邦人壽保險股份有限公司","臺北市信義區松高路77號8樓","01"
"51811609","彰化商業銀行股份有限公司","臺中市中區自由路二段38號","01"
"05052322","第一商業銀行股份有限公司","臺北市中正區重慶南路1段30號","01"
"03557311","臺灣銀行股份有限公司","臺北市中正區建國里重慶南路一段120號","01"
"03742301","華南商業銀行股份有限公司","臺北市信義區松仁路123號","01"
"86517384","永豐商業銀行股份有限公司","臺北市中山區南京東路3段36號","01"
"28428379","臺灣金融控股股份有限公司","臺北市中正區重慶南路一段120號","01"
"86519539","台新國際商業銀行股份有限公司","臺北市中山區中山北路二段44號1樓及地下1樓","01"
"03705903","兆豐國際商業銀行股份有限公司","臺北市中山區中原里吉林路100號","01"
"86522210","台塑石化股份有限公司","雲林縣麥寮鄉中興村台塑工業園區1號之1","01"
"03793407","臺灣中小企業銀行股份有限公司","臺北市大同區玉泉里9鄰塔城街30號","01"
"80353271","台灣美光晶圓科技股份有限公司","桃園市龜山區文化里復興三路667號","01"
"03700301","臺灣土地銀行股份有限公司","臺北市中正區黎明里10鄰館前路46號","01"
"84613756","中龍鋼鐵股份有限公司","臺中市龍井區龍昌路100號","01"
"03741302","中華郵政股份有限公司","臺北市大安區永康里金山南路二段55號","01"
"53017509","星展(台灣)商業銀行股份有限公司","臺北市信義區松仁路32、36號15、17樓","01"
"03458902","新光人壽保險股份有限公司","臺北市中正區忠孝西路一段66號31-43樓","01"
"07524729","國營臺灣鐵路股份有限公司","臺北市中正區黎明里003鄰北平西路3號","01"
"86517315","元大商業銀行股份有限公司","臺北市大安區仁愛路三段157號1至2樓及5至20樓","01"
"12800225","群創光電股份有限公司","新竹科學園區苗栗縣竹南鎮科學路160號","01"
"75370905","南亞塑膠工業股份有限公司","高雄市仁武區竹後里水管路101號","01"
"96979933","中華電信股份有限公司","臺北市中正區信義路一段21之3號","01"
"11913502","臺灣水泥股份有限公司","臺北市中山區中山北路二段113號","01"
"84149738","友達光電股份有限公司","新竹科學園區新竹市力行二路1號","01"
"28518076","台灣美光記憶體股份有限公司","中部科學園區臺中市后里區三豐路4段369號","01"
"53026486","臺灣港務股份有限公司","高雄市鼓山區麗興里蓬萊路10號","01"
"97160609","元大證券股份有限公司","臺北市中山區南京東路三段219號11樓","01"
"75708007","臺灣塑膠工業股份有限公司","高雄市仁武區竹後里水管路100號","01"
"03374707","國泰人壽保險股份有限公司","臺北市大安區仁愛路4段296號","01"
"03557017","台灣人壽保險股份有限公司","臺北市南港區經貿二路188號8樓","01"
"11145904","中華航空股份有限公司","桃園市大園區埔心里16鄰航站南路1號","01"
"76027628","日月光半導體製造股份有限公司","高雄市楠梓區經三路26號","01"
"58650902","臺灣化學纖維股份有限公司","彰化縣彰化市中庄里中山路三段359號","01"
"04388145","台灣康寧顯示玻璃股份有限公司","中部科學園區臺中市西屯區科園路1號","01"
"73251209","統一企業股份有限公司","臺南市永康區中正路301號","01"
"03794905","台灣糖業股份有限公司","臺南市東區生產路68號","01"
"16446274","台灣高速鐵路股份有限公司","臺北市南港區經貿二路66號13~15樓","01"
"51816908","台中商業銀行股份有限公司","臺中市西區民權路87號","01"
"23225229","長榮航空股份有限公司","桃園市蘆竹區新南路1段376號","01"
